# x; y; z; I; u; delta_u; U_prime
322.5;-398.28;18;7.92;6.99;0.52;0.55
322.5;-397.27;18;7.89;6.97;0.52;0.55
322.5;-396.27;18;7.86;6.94;0.52;0.55
322.5;-395.26;18;7.86;6.94;0.52;0.55
322.5;-394.25;18;7.86;6.94;0.46;0.55
322.5;-393.25;18;7.86;6.94;0.46;0.55
322.5;-392.24;18;7.86;6.94;0.46;0.55
322.5;-391.23;18;7.86;6.94;0.61;0.55
322.5;-390.23;18;7.86;6.94;0.77;0.55
322.5;-389.22;18;7.86;6.94;0.77;0.55
322.5;-388.22;18;7.86;6.94;0.77;0.55
322.5;-387.21;18;7.95;6.86;0.77;0.55
322.5;-386.2;18;8.03;6.78;0.77;0.55
322.5;-385.2;18;8.03;6.78;0.77;0.55
322.5;-384.19;18;8.03;6.78;0.77;0.55
322.5;-383.19;18;8.03;6.78;0.77;0.55
322.5;-382.18;18;8.03;6.78;0.77;0.55
322.5;-381.17;18;8.03;6.78;0.94;0.55
322.5;-380.17;18;8.03;6.78;1.12;0.55
322.5;-379.16;18;8.03;6.78;1.12;0.55
322.5;-378.16;18;8.03;6.78;1.12;0.55
322.5;-377.15;18;8.18;6.66;1.12;0.55
322.5;-376.14;18;8.32;6.53;1.12;0.55
322.5;-375.14;18;8.32;6.53;1.12;0.55
322.5;-374.13;18;8.32;6.53;1.12;0.55
322.5;-373.13;18;8.32;6.53;1.12;0.55
322.5;-372.12;18;8.32;6.53;1.09;0.55
322.5;-371.11;18;8.32;6.53;1.25;0.55
322.5;-370.11;18;8.32;6.53;1.43;0.55
322.5;-369.1;18;8.32;6.53;1.43;0.55
322.5;-368.09;18;8.32;6.53;1.43;0.55
322.5;-367.09;18;8.51;6.38;1.43;0.54
322.5;-366.08;18;8.69;6.22;1.43;0.54
322.5;-365.08;18;8.69;6.22;1.43;0.54
322.5;-364.07;18;8.69;6.22;1.43;0.54
322.5;-363.06;18;8.69;6.22;1.43;0.54
322.5;-362.06;18;8.69;6.22;1.52;0.54
322.5;-361.05;18;8.69;6.22;1.61;0.54
322.5;-360.05;18;8.69;6.22;1.61;0.54
322.5;-359.04;18;8.69;6.22;1.61;0.54
322.5;-358.03;18;8.69;6.22;1.61;0.54
322.5;-357.03;18;8.91;6.05;1.61;0.54
322.5;-356.02;18;9.13;5.88;1.61;0.54
322.5;-355.02;18;9.13;5.88;1.61;0.54
322.5;-354.01;18;9.13;5.88;1.61;0.54
322.5;-353;18;9.13;5.88;1.61;0.54
322.5;-352;18;9.13;5.88;1.63;0.54
322.5;-350.99;18;9.13;5.88;1.64;0.54
322.5;-349.99;18;9.13;5.88;1.64;0.54
322.5;-348.98;18;9.13;5.88;1.64;0.54
322.5;-347.97;18;9.13;5.88;1.64;0.54
322.5;-346.97;18;9.35;5.69;1.64;0.53
322.5;-345.96;18;9.57;5.51;1.64;0.53
322.5;-344.96;18;9.57;5.51;1.64;0.53
322.5;-343.95;18;9.57;5.51;1.64;0.53
322.5;-342.94;18;9.57;5.51;1.7;0.53
322.5;-341.94;18;9.57;5.51;1.61;0.53
322.5;-340.93;18;9.57;5.51;1.46;0.53
322.5;-339.92;18;9.57;5.51;1.46;0.53
322.5;-338.92;18;9.57;5.51;1.46;0.53
322.5;-337.91;18;9.74;5.34;1.46;0.52
322.5;-336.91;18;9.91;5.17;1.46;0.51
322.5;-335.9;18;9.91;5.17;1.46;0.51
322.5;-334.89;18;9.91;5.17;1.46;0.51
322.5;-333.89;18;9.91;5.17;1.46;0.51
322.5;-332.88;18;9.91;5.17;1.46;0.51
322.5;-331.88;18;9.91;5.17;1.28;0.51
322.5;-330.87;18;9.91;5.17;1.11;0.51
322.5;-329.86;18;9.91;5.17;1.11;0.51
322.5;-328.86;18;9.91;5.17;1.11;0.51
322.5;-327.85;18;9.98;5.03;1.11;0.5
322.5;-326.85;18;10.06;4.9;1.11;0.49
322.5;-325.84;18;10.06;4.9;1.11;0.49
322.5;-324.83;18;10.06;4.9;1.11;0.49
322.5;-323.83;18;10.06;4.9;1.11;0.49
322.5;-322.82;18;10.06;4.9;1.11;0.49
322.5;-321.82;18;10.06;4.9;0.92;0.49
322.5;-320.81;18;10.06;4.9;0.74;0.49
322.5;-319.8;18;10.06;4.9;0.74;0.49
322.5;-318.8;18;10.07;4.83;0.74;0.49
322.5;-317.79;18;10.07;4.77;0.74;0.48
322.5;-316.79;18;10.07;4.77;0.74;0.48
322.5;-315.78;18;10.07;4.77;0.74;0.48
322.5;-314.77;18;10.07;4.77;0.74;0.48
322.5;-313.77;18;10.07;4.77;0.74;0.48
322.5;-312.76;18;10.07;4.77;0.74;0.48
322.5;-311.75;18;10.07;4.77;0.74;0.48
322.5;-310.75;18;10.07;4.77;0.74;0.48
322.5;-309.74;18;10.04;4.81;0.74;0.48
322.5;-308.74;18;10.02;4.85;0.74;0.49
322.5;-307.73;18;10.02;4.85;0.96;0.49
322.5;-306.72;18;10.02;4.85;1.18;0.49
322.5;-305.72;18;10.02;4.85;1.18;0.49
322.5;-304.71;18;10.02;4.85;1.18;0.49
322.5;-303.71;18;10.02;4.85;1.18;0.49
322.5;-302.7;18;10.17;4.88;1.18;0.5
322.5;-301.7;18.05;10.17;4.88;1.18;0.5
322.5;-300.7;18.1;10.16;5.01;1.18;0.51
